CategoriaID,Categoria,Producto,UnitPrice,Cantidad,Total,SUM,AVG,COUNT,MAX,MIN,Ranking
7,Touring Bikes,"Touring-3000 Blue, 58",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Blue, 44",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Yellow, 44",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Blue, 50",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Blue, 54",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Yellow, 54",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Blue, 58",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Blue, 54",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Yellow, 50",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Blue, 50",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Yellow, 44",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Yellow, 54",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Blue, 54",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Blue, 50",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Yellow, 44",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Yellow, 62",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Yellow, 44",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Yellow, 50",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Blue, 50",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Yellow, 50",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Yellow, 62",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Blue, 54",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Yellow, 44",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Blue, 50",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Blue, 44",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Blue, 62",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Blue, 58",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
7,Touring Bikes,"Touring-3000 Blue, 54",445.4100,100,44541.0000,7207270.56,88978.65,81,143044.2000,43056.3000,49
